framenr,kanji,keyword,public,last_edited,story
17,吾,"I",1,2016-06-16 13:53:17,"Represents the Buddhist idea of an impermanent self from the Sanskrit phrase ""five skandhas"". A skandha is ""heap"", ""bundle"", ""grouping"" or ""aggregate"", so actually that ""mouth"" underneath 5 actually represents the word ""skandha""."
45,寸,"measurement",1,2016-06-07 20:09:48,"Before #sticking# your Ikea furniture together, you should check all your measurements first. Measure across first, then down and make sure to dot your t before starting work."
46,肘,"elbow",1,2016-06-17 12:47:09,"Be careful not confuse with the elbow primitive (not a kanji) later."
64,頁,"page",1,2016-06-07 20:11:55,"I got this #one#-page book once called ""The little book of #clam#"""
84,賄,"bribe",1,2016-06-07 20:14:26,"I hate the corruption in this town. It seems like a hard-working criminal has to #shell# out all his #possessions# to avoid going to jail."
91,昭,"shining",1,2016-06-07 20:16:08,"What's with this teeth-whitening/shining fad? Some people's teeth look like the sun shines out of them. Of course, the point of it all is ultimately seduction!"
96,町,"village",1,2016-06-10 08:27:54,"What elevates a town from simple farm land? Streets."
145,沼,"marsh",1,2016-06-29 11:34:02,"water-seduction. Easy to think that the calm waters aren't dangerous, but you might be seduced too much by this idea and fall into a bog hole.
Be careful not to confuse with swamp."
177,灯,"lamp",1,2016-06-07 20:18:05,"What distinguishes farmland from villages is just the street signs. Oh, and the fire on spikes that they call ""lamps"""
178,畑,"farm",1,2016-06-07 20:19:40,"Who wants to ""slash and burn"" to make a farm? Cut the effort and just set fire to the field!"
184,漁,"fishing",1,2016-06-07 20:24:15,"Japanese farmers used to raise fish (carp to be exact) in the little runnels of their farmland. That's not proper fishing: for that you need to go to a real body of water and catch real fish."
187,墨,"black ink",1,2016-06-07 20:05:41,"Before squid were discovered, people would burn down vast areas (at least a ri) and then gather up the blackened soil to convert it into black ink."
188,鯉,"carp",1,2016-06-07 20:28:17,"Carp fish were once raised on pretty much every available ri of rice farmland. They were probably the first true ""farmed"" fish."
190,厘,"rin",1,2016-06-07 20:33:28,"Devaluation is what you get throw stuff off cliffs. Throw a ri, get back a rin."
191,埋,"bury",1,2016-06-07 20:49:07,"I prefer Kurt Vonnegut's idea of bombs and such: just play time in reverse and people lovingly dismantle them and bury the components back in the ground. Although, really I wouldn't like if they turned the silicon components in my computer back into #soil#."
194,胴,"trunk",1,2016-06-07 20:38:55,"The trunk of many organisms (like trees or vertebrates) is where you find the so-called ""undifferentiated tissue"" (#flesh# that's the #same#)"
196,尚,"esteem",1,2016-06-07 20:48:47,"Would you like to see my gallery of shrunken (little) mouths in jars? I've got a Nixon and some other esteemed characters in here (think Futurama, politician's mouths in jars)"
199,完,"perfect",1,2016-06-09 13:04:07,"Perfecting the art of house building only needs to to concentrate on two things: the #beginning# (""foundations"" in building speak) and the roof. All the rest is walls, and, so, unimportant.
Compare to complete: this house is incomplete, but that doesn't stop it from being perfect!"
204,寄,"draw near",1,2016-06-09 12:55:52,"Think of the story of the monkey's paw. The parents rub it and wish for their dead son to return. There is a strange feeling under the roof as something draws near the front door."
206,貯,"savings",1,2016-06-07 20:45:06,"I keep my savings (all the clams I've earned) hidden under my roof. There's a loose nail that I use as a switch to open up a secret compartment ..."
210,桂,"Japanese Judas-tree",1,2016-06-07 20:46:26,"Judas-shmudas. I'd just climb down the ivy growing on the tree and head to town to spend my silver!"
214,棚,"shelf",1,2016-06-07 20:47:55,"Outside of a dog, books are a man's best friend. #Shelves# are just a #wooden# #companion#, by comparison."
216,桐,"paulownia",1,2016-06-07 20:54:34,"How to distinguish the paulownia tree from the rest? It makes pollen (""paulown"") just the same as every other tree!"
217,植,"plant",1,2016-06-07 20:56:32,"In McBroom's Wonderful One-Acre Farm, it didn't matter what #tree# you planted, it would grow #straightaway#!"
219,枯,"wither",1,2016-06-07 20:57:19,"Trees get old, too, wither they want to or not."
220,朴,"crude",1,2016-06-07 21:02:17,"The crude wooden wand that Bumpkin McBupkiss brought from home marked him for special attention from Hogwarth's bullies."
221,村,"town",1,2016-06-07 21:06:45,"After a village (which is mainly characterised by street signs and lamps), towns can mostly be characterised by their use of chipboard---a cheap building material made from #wood# pulp and #glue#."
222,相,"inter-",1,2016-06-07 21:10:55,"Inter-personal relationships are about always thinking of the other person. What would I do in their shoes ... ""wouldn't I"" ... ""wooden I"" ... ""wooden eye""?"
223,机,"desk",1,2016-06-07 21:12:42,"This desk here is where I keep all my wood-wind instruments. Ooh! a nose-flute I didn't realise I had!"
227,案,"plan",1,2016-06-07 21:15:45,"Treehouses are great. You can climb up the tree, relax and work out whatever evil plan you want without anyone bothering you."
228,燥,"parch",1,2016-06-07 21:20:23,"In the parched land where I live (the Sahara), we have to put all the Christmas gifts (so many #goods#, since we are rich from selling oil!) on top of the #tree# so they don't burn from the #fiery# heat all around."
231,昧,"obscure",1,2016-06-07 21:23:24,"obscure: something that the #sun# has #not yet# reached. Like the continually mist-shrouded island at the start of Dr. Strangelove."
236,株,"stocks",1,2016-06-07 21:25:29,"In the before-times, when people used leaves as currency, they would plant trees in spring in the hope of reaping a vermillion (the highest-valued denomination of leaf) windfall in autumn."
237,若,"young",1,2016-06-07 21:28:15,"Although I don't agree with hippies in general, I do think that the young have the #right# to wear #flowers# in their hair."
239,苦,"suffering",1,2016-06-07 21:31:27,"Suffering is as old as the first flower. Flowering marks the high point of their lives. After reproducing, the rest is just old age."
241,寛,"tolerant",1,2016-06-07 21:34:59,"When people in the #greenhouse# #see# that it's best not to throw stones, it means they are being more #tolerant#."
243,葉,"leaf",1,2016-06-07 21:39:51,"Leaves are the power-generation part of a plant. The tree's frame supports them, but the energy they collect supports flowering and seed production so that a new generation of frames, leaves and flowers may live."
245,漠,"vague",1,2016-06-07 21:42:46,"If RTK isn't your first introduction to kanji (漢字), then this one will probably look vaguely familiar. If you let your thoughts run their course though (like running water), this idea will soon be washed away to the graveyard where it belongs."
246,墓,"grave",1,2016-06-07 21:44:58,"A graveyard is built on the soil of individual graves."
247,暮,"livelihood",1,2016-06-07 21:51:30,"My friend is an up-and-coming star in his field. As an undertaker, he's embarrassed to talk about his livelihood though. He hides his light under a bushel (of graves)."
250,兆,"portent",1,2016-06-07 21:56:50,"In Blade Runner, we really should have portended what would happen by the way Roy Batty reacted to the question about the turtle on its back."
251,桃,"peach tree",0,2016-06-07 21:58:49,"Tree of portent... yup, I like the angle of dark foreboding in the story of momotarou. Kind of parallels the Buddha's story and the connection with the Bo tree."
252,眺,"stare",1,2016-06-07 22:41:26,"Cassandra stared at the turtle back long and hard and what she saw with her #eye portended# doom."
254,状,"status quo",1,2016-06-07 22:05:39,"Unlike Seth Brundle in The Fly, when the turtle and the St. Bernard got merged, they were happy enough with the status quo. The dog got to enjoy lettuce and the tortoise got to lick his own balls."
256,然,"sort of thing",1,2016-06-07 22:16:21,"Not chihuahua, exactly, but some sort of flesh of dog sort of thing roasted over a fire. A kind of chihuahua chimichanga, if you will. (Note especially the ""sort-of-flesh"" rendering of 月 on the left)"
257,荻,"reed",1,2016-06-09 13:08:43,"An over-elaborate way to escape a pack of wild dogs: find a flowering reed and break it off. Use it to breathe underwater. Then set fire to everything so that the dogs will all run away. Just hope that the dogs don't get the same idea!"
262,告,"revelation",1,2016-06-07 22:21:21,"Reminds me of the sense of revelation in the film Gozu after we find out where that ""#cow#"" milk he put into his #mouth# actually came from."
268,脊,"spinal column",1,2016-06-07 22:25:24,"Look at me as I #strut# out confidently with my #fleshy# spinal column protected with its own #umbrella#."
269,合,"fit",1,2016-06-07 22:26:54,"If a kiss is the #meeting place# of two #mouth#s, it's vital that they actually fit."
270,塔,"pagoda",1,2016-06-07 22:30:10,"It has to combine architecture (building up of soil) and aesthetics (decoration with flowers) in a way that actually ""fits"" internally. Otherwise it's just a jumble of ideas/lines."
274,珠,"pearl",1,2016-06-07 22:34:41,"Actually, I suspect that these giant, polished #vermilion# #orbs# aren't pearls, but shiny mud balls. (so really they are dorodango!)"
275,現,"present",1,2016-06-07 22:37:10,"The orb of scrying lets you see all that's happening at this moment."
276,玩,"toy",1,2016-06-07 22:38:42,"Go back far enough (even so far as reversing the characters) and you'll see that the first toy was a ball: the ur-ball (beginning ball)."
280,呈,"display",1,2016-06-07 22:48:57,"The king props his chin on his sceptre to display his latest acquisition: an array of new gold teeth in his mouth."
281,全,"whole",1,2016-06-07 22:52:59,"The king felt whole after retiring under the umbrella with his entire entourage."
285,注,"pour",1,2016-06-07 23:02:57,"Picture King Canute, as the water pours over home, heedlessly. He even got his hair wet!"
293,銘,"inscription",1,2016-06-07 23:06:17,"The name inscribed inside the golden ring was ""Elbereth"""
294,鎮,"tranquillize",1,2016-06-07 23:08:30,"In Pulp Fiction, we're not supposed to know the golden truth inside the briefcase is. If we were to find out, we'd have to be tranquillised like in They Live."
295,道,"road-way",1,2016-06-07 23:12:22,"The way people drive these days, you need some neck out there on the road-ways."
