FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
1,"一","one",2016-06-18 07:02:39,2016-07-02,4,0,3
2,"二","two",2016-06-17 12:29:42,2016-07-02,4,0,3
3,"三","three",2016-06-19 13:54:30,2016-07-12,4,0,3
4,"四","four",2016-06-18 06:45:01,2016-07-01,4,0,3
5,"五","five",2016-06-14 09:48:35,2016-07-01,4,0,3
6,"六","six",2016-06-16 12:27:47,2016-07-01,4,0,3
7,"七","seven",2016-06-19 14:25:20,2016-07-02,4,0,3
8,"八","eight",2016-06-20 11:34:46,2016-07-07,4,0,3
9,"九","nine",2016-06-18 06:48:17,2016-06-29,4,0,3
10,"十","ten",2016-06-16 12:30:44,2016-07-02,4,0,3
11,"口","mouth",2016-06-20 11:49:49,2016-07-14,4,0,3
12,"日","day",2016-06-17 11:34:30,2016-07-04,4,0,3
13,"月","month",2016-06-17 12:31:26,2016-07-01,4,0,3
14,"田","rice field",2016-06-20 12:05:26,2016-07-01,4,0,3
15,"目","eye",2016-06-16 12:15:08,2016-06-28,4,0,3
16,"古","old",2016-06-18 07:07:20,2016-06-29,4,0,3
17,"吾","I",2016-06-19 14:17:01,2016-07-05,4,0,3
18,"冒","risk",2016-06-19 14:06:34,2016-07-02,4,0,3
19,"朋","companion",2016-06-18 06:09:29,2016-06-29,4,0,3
20,"明","bright",2016-06-14 09:28:03,2016-07-01,4,0,3
21,"唱","chant",2016-06-17 12:37:25,2016-06-30,4,0,3
22,"晶","sparkle",2016-06-18 06:45:01,2016-07-04,4,0,3
23,"品","goods",2016-06-16 12:15:08,2016-07-02,4,0,3
24,"呂","spine",2016-06-15 09:50:48,2016-06-27,4,0,3
25,"昌","prosperous",2016-06-18 06:58:10,2016-07-02,4,1,3
26,"早","early",2016-06-19 14:19:16,2016-06-30,4,0,3
27,"旭","rising sun",2016-06-16 12:23:08,2016-07-02,4,0,3
28,"世","generation",2016-06-18 06:51:11,2016-06-29,4,0,3
29,"胃","stomach",2016-06-17 12:37:25,2016-06-29,4,0,3
30,"旦","nightbreak",2016-06-20 11:42:17,2016-07-10,4,0,3
31,"胆","gall bladder",2016-06-16 12:27:47,2016-06-30,4,0,3
32,"亘","span",2016-06-17 12:37:25,2016-06-30,4,0,3
33,"凹","concave",2016-06-16 12:03:42,2016-06-29,4,0,3
34,"凸","convex",2016-06-18 06:09:29,2016-06-30,4,0,3
35,"旧","olden times",2016-06-16 12:27:47,2016-06-28,4,0,3
36,"自","oneself",2016-06-19 14:14:18,2016-07-02,4,0,3
37,"白","white",2016-06-14 09:28:03,2016-06-28,4,0,3
38,"百","hundred",2016-06-17 11:26:33,2016-07-03,4,0,3
39,"中","in",2016-06-19 14:25:20,2016-07-11,4,0,3
40,"千","thousand",2016-06-17 11:20:01,2016-07-02,4,0,3
41,"舌","tongue",2016-06-16 12:25:38,2016-06-29,4,0,3
42,"升","measuring box",2016-06-16 12:18:18,2016-06-30,4,0,3
43,"昇","rise up",2016-06-14 09:43:52,2016-06-29,4,0,3
44,"丸","round",2016-06-16 12:15:08,2016-07-02,4,0,3
45,"寸","measurement",2016-06-17 11:28:57,2016-07-03,4,1,3
46,"肘","elbow",2016-06-17 20:16:40,2016-06-21,2,1,3
47,"専","specialty",2016-06-15 09:47:54,2016-07-01,4,0,3
48,"博","Dr.",2016-06-19 14:31:59,2016-06-21,2,2,4
49,"占","fortune-telling",2016-06-15 09:47:54,2016-07-01,4,0,3
50,"上","above",2016-06-16 12:11:50,2016-07-02,4,0,3
51,"下","below",2016-06-18 07:00:08,2016-07-01,4,0,3
52,"卓","eminent",2016-06-15 09:49:32,2016-07-01,4,0,3
53,"朝","morning",2016-06-16 12:23:08,2016-07-02,4,0,3
54,"嘲","derision",2016-06-17 11:26:33,2016-07-01,4,0,3
55,"只","only",2016-06-19 13:56:41,2016-07-01,4,0,3
56,"貝","shellfish",2016-06-20 11:46:20,2016-07-07,4,0,3
57,"唄","pop song",2016-06-18 06:45:01,2016-07-02,4,0,3
58,"貞","upright",2016-06-17 11:41:24,2016-06-30,4,0,3
59,"員","employee",2016-06-17 11:26:33,2016-06-30,4,0,3
60,"貼","post a bill",2016-06-17 11:34:30,2016-07-02,4,0,3
61,"見","see",2016-06-14 09:46:39,2016-07-01,4,0,3
62,"児","newborn babe",2016-06-17 11:41:24,2016-06-29,4,0,3
63,"元","beginning",2016-06-18 06:40:43,2016-07-05,4,0,3
64,"頁","page",2016-06-19 14:08:54,2016-07-05,4,1,3
65,"頑","stubborn",2016-06-17 11:32:34,2016-07-04,4,0,3
66,"凡","mediocre",2016-06-15 09:49:32,2016-06-27,4,0,3
67,"負","defeat",2016-06-18 06:42:24,2016-07-01,4,0,3
68,"万","ten thousand",2016-06-20 11:46:20,2016-07-02,4,0,3
69,"句","phrase",2016-06-19 13:52:13,2016-07-05,4,0,3
70,"肌","texture",2016-06-16 12:18:18,2016-06-28,4,0,3
71,"旬","decameron",2016-06-17 11:28:57,2016-07-01,4,0,3
72,"勺","ladle",2016-06-15 09:50:48,2016-06-29,4,0,3
73,"的","bull's eye",2016-06-17 11:24:34,2016-06-28,4,1,4
74,"首","neck",2016-06-20 12:01:35,2016-07-07,4,0,3
75,"乙","fish guts",2016-06-14 09:32:55,2016-06-26,4,0,3
76,"乱","riot",2016-06-18 06:52:49,2016-07-01,4,0,3
77,"直","straightaway",2016-06-18 06:52:49,2016-07-04,4,0,3
78,"具","tool",2016-06-20 11:58:12,2016-07-01,4,0,3
79,"真","true",2016-06-18 06:09:29,2016-07-05,4,0,3
80,"工","craft",2016-06-17 11:39:13,2016-07-03,4,0,3
81,"左","left",2016-06-16 12:11:50,2016-06-30,4,0,3
82,"右","right",2016-06-19 14:25:20,2016-07-06,4,0,3
83,"有","possess",2016-06-17 11:32:34,2016-06-29,4,0,3
84,"賄","bribe",2016-06-14 09:39:46,2016-06-26,4,1,3
85,"貢","tribute",2016-06-17 12:29:42,2016-07-02,4,0,3
86,"項","paragraph",2016-06-20 12:01:35,2016-07-05,4,0,3
87,"刀","sword",2016-06-16 12:27:47,2016-06-30,4,0,3
88,"刃","blade",2016-06-14 09:43:52,2016-06-25,4,0,3
89,"切","cut",2016-06-17 11:22:59,2016-07-03,4,0,3
90,"召","seduce",2016-06-20 11:46:20,2016-07-03,4,0,3
91,"昭","shining",2016-06-16 12:25:38,2016-06-30,4,2,3
92,"則","rule",2016-06-14 09:46:39,2016-06-26,4,0,3
93,"副","vice-",2016-06-17 11:28:57,2016-06-30,4,0,3
94,"別","separate",2016-06-19 14:19:16,2016-07-01,4,0,3
95,"丁","street",2016-06-20 11:40:21,2016-07-04,4,0,3
96,"町","village",2016-06-20 11:55:17,2016-07-01,4,0,3
97,"可","can",2016-06-14 09:48:35,2016-06-28,4,0,3
98,"頂","place on the head",2016-06-17 12:37:25,2016-07-01,4,0,3
99,"子","child",2016-06-17 11:22:59,2016-06-30,4,0,3
100,"孔","cavity",2016-06-18 06:40:43,2016-07-03,4,0,3
101,"了","complete",2016-06-14 09:39:46,2016-06-23,3,1,3
102,"女","woman",2016-06-20 11:55:18,2016-07-10,4,0,3
103,"好","fond",2016-06-18 06:42:24,2016-07-02,4,0,3
104,"如","likeness",2016-06-18 07:07:20,2016-06-25,3,1,4
105,"母","mama",2016-06-18 07:04:51,2016-07-03,4,0,3
106,"貫","pierce",2016-06-17 11:41:24,2016-06-30,4,0,3
107,"兄","elder brother",2016-06-17 11:26:33,2016-06-29,4,0,3
108,"呪","curse",2016-06-19 14:03:47,2016-06-30,4,0,3
109,"克","overcome",2016-06-19 14:08:54,2016-06-30,4,0,3
110,"小","little",2016-06-17 11:36:36,2016-06-29,4,0,3
111,"少","few",2016-06-18 06:48:17,2016-07-03,4,0,3
112,"大","large",2016-06-14 09:39:46,2016-06-29,4,0,3
113,"多","many",2016-06-18 07:07:20,2016-07-04,4,0,3
114,"夕","evening",2016-06-16 12:15:08,2016-06-28,4,0,3
115,"汐","eventide",2016-06-19 14:11:53,2016-07-03,4,0,3
116,"外","outside",2016-06-19 13:49:26,2016-07-03,4,0,3
117,"名","name",2016-06-17 11:22:59,2016-07-01,4,0,3
118,"石","stone",2016-06-17 11:41:24,2016-06-30,4,0,3
119,"肖","resemblance",2016-06-14 09:43:52,2016-06-30,4,0,3
120,"硝","nitrate",2016-06-19 14:11:53,2016-07-04,4,0,3
121,"砕","smash",2016-06-17 12:37:25,2016-07-01,4,0,3
122,"砂","sand",2016-06-18 07:02:39,2016-07-04,4,0,3
123,"妬","jealous",2016-06-16 12:11:50,2016-06-28,4,0,3
124,"削","plane",2016-06-16 12:25:38,2016-06-28,4,0,3
125,"光","ray",2016-06-15 09:46:18,2016-06-28,4,0,3
126,"太","plump",2016-06-17 11:26:33,2016-07-02,4,0,3
127,"器","utensil",2016-06-14 09:48:35,2016-06-30,4,0,3
128,"臭","stinking",2016-06-15 09:50:48,2016-06-27,4,0,3
129,"嗅","sniff",2016-06-15 09:47:54,2016-06-27,4,0,3
130,"妙","exquisite",2016-06-15 09:50:48,2016-06-28,4,0,3
131,"省","focus",2016-06-17 11:24:34,2016-07-03,4,0,3
132,"厚","thick",2016-06-17 11:22:59,2016-06-30,4,0,3
133,"奇","strange",2016-06-14 09:50:42,2016-06-27,4,0,3
134,"川","stream",2016-06-15 09:49:32,2016-06-30,4,0,3
135,"州","state",2016-06-17 12:37:25,2016-07-04,4,0,3
136,"順","obey",2016-06-17 11:26:33,2016-07-03,4,0,3
137,"水","water",2016-06-18 06:48:17,2016-07-03,4,0,3
138,"氷","icicle",2016-06-16 12:23:08,2016-07-03,4,0,3
139,"永","eternity",2016-06-20 11:38:10,2016-07-07,4,0,3
140,"泉","spring",2016-06-20 11:46:20,2016-06-26,3,1,4
141,"腺","gland",2016-06-16 12:03:42,2016-06-28,4,0,3
142,"原","meadow",2016-06-16 12:15:08,2016-07-03,4,0,3
143,"願","petition",2016-06-17 11:26:33,2016-06-28,4,0,3
144,"泳","swim",2016-06-18 06:52:49,2016-07-05,4,0,3
145,"沼","marsh",2016-06-16 12:32:00,2016-06-29,4,0,3
146,"沖","open sea",2016-06-15 09:49:32,2016-07-01,4,0,3
147,"汎","pan-",2016-06-19 14:17:01,2016-07-03,4,0,3
148,"江","creek",2016-06-15 09:46:18,2016-07-01,4,0,3
149,"汰","cleanse",2016-06-19 14:25:20,2016-07-02,4,0,3
150,"汁","soup",2016-06-17 11:34:30,2016-06-30,4,0,3
151,"沙","grains of sand",2016-06-19 14:22:39,2016-07-03,4,0,3
152,"潮","tide",2016-06-16 12:13:37,2016-07-02,4,0,3
153,"源","source",2016-06-19 13:56:41,2016-07-05,4,0,3
154,"活","lively",2016-06-17 11:36:36,2016-06-30,4,0,3
155,"消","extinguish",2016-06-15 09:49:32,2016-06-29,4,0,3
156,"況","but of course",2016-06-17 11:32:34,2016-06-28,4,0,3
157,"河","river",2016-06-16 12:15:08,2016-06-30,4,0,3
158,"泊","overnight",2016-06-15 09:49:32,2016-06-27,4,0,3
159,"湖","lake",2016-06-17 11:26:33,2016-07-02,4,0,3
160,"測","fathom",2016-06-19 14:06:34,2016-07-05,4,0,3
161,"土","soil",2016-06-18 06:07:42,2016-07-03,4,0,3
162,"吐","spit",2016-06-15 09:50:48,2016-06-26,4,0,3
163,"圧","pressure",2016-06-17 11:20:01,2016-07-04,4,0,3
164,"埼","cape",2016-06-20 12:20:58,2016-06-23,2,1,3
165,"垣","hedge",2016-06-18 06:40:43,2016-07-01,4,0,3
166,"填","inlay",2016-06-15 09:47:54,2016-06-27,4,0,3
167,"圭","squared jewel",2016-06-16 12:32:00,2016-06-27,4,0,3
168,"封","seal",2016-06-16 12:11:50,2016-06-27,4,0,3
169,"涯","horizon",2016-06-15 09:49:32,2016-07-02,4,0,3
170,"寺","Buddhist temple",2016-06-19 14:22:39,2016-07-09,4,0,3
171,"時","time",2016-06-14 09:48:35,2016-06-26,4,0,3
172,"均","level",2016-06-19 14:06:34,2016-07-02,4,0,3
173,"火","fire",2016-06-16 12:23:08,2016-06-27,4,0,3
174,"炎","inflammation",2016-06-19 14:22:39,2016-06-30,4,0,3
175,"煩","anxiety",2016-06-18 07:00:08,2016-06-30,4,0,3
176,"淡","thin",2016-06-19 13:49:26,2016-07-04,4,0,3
177,"灯","lamp",2016-06-18 06:45:01,2016-07-04,4,1,3
178,"畑","farm",2016-06-17 11:41:24,2016-06-29,4,1,3
179,"災","disaster",2016-06-18 06:40:43,2016-07-04,4,0,3
180,"灰","ashes",2016-06-17 11:41:24,2016-07-03,4,0,3
