政	まつりごと, まん, セイ, ショウ	politics, government
議	ギ	deliberation, consultation, debate, consideration
連	つら.なる, つら.ねる, つ.れる, -づ.れ, レン	take along, lead, join, connect, party, gang, clique
対	あいて, こた.える, そろ.い, つれあ.い, なら.ぶ, むか.う, タイ, ツイ	vis-a-vis, opposite, even, equal, versus, anti-, compare
部	-べ, ブ	section, bureau, dept, class, copy, part, portion, counter for copies of a newspaper or magazine
党	なかま, むら, トウ	party, faction, clique
内	うち, ナイ, ダイ	inside, within, between, among, house, home
相	あい-, ソウ, ショウ	inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy
定	さだ.める, さだ.まる, さだ.か, テイ, ジョウ	determine, fix, establish, decide
選	えら.ぶ, セン	elect, select, choose, prefer
米	こめ, よね, ベイ, マイ, メエトル	rice, USA, metre
実	み, みの.る, まこと, まことに, みの, みち.る, ジツ, シツ	reality, truth
関	せき, -ぜき, かか.わる, からくり, かんぬき, カン	connection, barrier, gateway, involve, concerning
決	き.める, -ぎ.め, き.まる, さ.く, ケツ	decide, fix, agree upon, appoint
全	まった.く, すべ.て, ゼン	whole, entire, all, complete, fulfill
表	おもて, -おもて, あらわ.す, あらわ.れる, あら.わす, ヒョウ	surface, table, chart, diagram
戦	いくさ, たたか.う, おのの.く, そよ.ぐ, わなな.く, セン	war, battle, match
経	へ.る, た.つ, たていと, はか.る, のり, ケイ, キョウ	sutra, longitude, pass thru, expire, warp
最	もっと.も, つま, サイ, シュ	utmost, most, extreme
現	あらわ.れる, あらわ.す, うつつ, うつ.つ, ゲン	present, existing, actual
調	しら.べる, しら.べ, ととの.う, ととの.える, チョウ	tune, tone, meter, key (music), writing style, prepare, exorcise, investigate, harmonize, mediate
化	ば.ける, ば.かす, ふ.ける, け.する, カ, ケ	change, take the form of, influence, enchant, delude, -ization
当	あ.たる, あ.たり, あ.てる, あ.て, まさ.に, まさ.にべし, トウ	hit, right, appropriate, himself
約	つづ.まる, つづ.める, つづま.やか, ヤク	promise, approximately, shrink
法	のり, ホウ, ハッ, ホッ, フラン	method, law, rule, principle, model, system
性	さが, セイ, ショウ	sex, gender, nature
的	まと, テキ	bull's eye, mark, target, object, adjective ending
要	い.る, かなめ, ヨウ	need, main point, essence, pivot, key to
制	セイ	system, law, rule
治	おさ.める, おさ.まる, なお.る, なお.す, ジ, チ	reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve
務	つと.める, ム	task, duties
成	な.る, な.す, -な.す, セイ, ジョウ	turn into, become, get, grow, elapse, reach
期	キ, ゴ	period, time, date, term
公	おおやけ, コウ, ク	public, prince, official, governmental
協	キョウ	co-, cooperation
取	と.る, と.り, と.り-, とり, -ど.り, シュ	take, fetch, take up
和	やわ.らぐ, やわ.らげる, なご.む, なご.やか, ワ, オ, カ	harmony, Japanese style, peace, soften, Japan
機	はた, キ	loom, mechanism, machine, airplane, opportunity, potency, efficacy, occasion
平	たい.ら, -だいら, ひら, ひら-, ヘイ, ビョウ, ヒョウ	even, flat, peace
総	す.べて, すべ.て, ふさ, ソウ	general, whole, all, full, total
加	くわ.える, くわ.わる, カ	add, addition, increase, join, include, Canada
受	う.ける, -う.け, う.かる, ジュ	accept, undergo, answer (phone), take, get, catch, receive
領	えり, リョウ	jurisdiction, dominion, territory, fief, reign
続	つづ.く, つづ.ける, つぐ.ない, ゾク, ショク, コウ, キョウ	continue, series, sequel
設	もう.ける, セツ	establishment, provision, prepare
保	たも.つ, ホ, ホウ	protect, guarantee, keep, preserve, sustain, support
改	あらた.める, あらた.まる, カイ	reformation, change, modify, mend, renew, examine, inspect, search
数	かず, かぞ.える, しばしば, せ.める, わずらわ.しい, スウ, ス, サク, ソク, シュ	number, strength, fate, law, figures
記	しる.す, キ	scribe, account, narrative
初	はじ.め, はじ.めて, はつ, はつ-, うい-, -そ.める, -ぞ.め, ショ	first time, beginning
指	ゆび, さ.す, -さ.し, シ	finger, point to, indicate, put into, play (chess), measure (ruler)
権	おもり, かり, はか.る, ケン, ゴン	authority, power, rights
支	ささ.える, つか.える, か.う, シ	branch, support, sustain, branch radical (no. 65)
第	ダイ, テイ	No., residence
結	むす.ぶ, ゆ.う, ゆ.わえる, ケツ, ケチ	tie, bind, contract, join, organize, do up hair, fasten
点	つ.ける, つ.く, た.てる, さ.す, とぼ.す, とも.す, ぼち, テン	spot, point, mark, speck, decimal point
報	むく.いる, ホウ	report, news, reward, retribution
済	す.む, -ず.み, -ずみ, す.まない, す.ます, -す.ます, すく.う, な.す, わたし, わた.る, サイ, セイ	finish, come to an end, excusable, need not
府	フ	borough, urban prefecture, govt office, representative body, storehouse
活	い.きる, い.かす, い.ける, カツ	lively, resuscitation, being helped, living
原	はら, ゲン	meadow, original, primitive, field, plain, prairie, tundra, wilderness
共	とも, とも.に, -ども, キョウ	together, both, neither, all, and, alike, with
得	え.る, う.る, トク	gain, get, find, earn, acquire, can, may, able to, profit, advantage, benefit
解	と.く, と.かす, と.ける, ほど.く, ほど.ける, わか.る, さと.る, カイ, ゲ	unravel, notes, key, explanation, understanding, untie, undo, solve, answer, cancel, absolve, explain, minute
交	まじ.わる, まじ.える, ま.じる, まじ.る, ま.ざる, ま.ぜる, -か.う, か.わす, かわ.す, こもごも, コウ	mingle, mixing, association, coming & going
資	シ	assets, resources, capital, funds, data, be conducive to, contribute to
予	あらかじ.め, ヨ, シャ	beforehand, previous, myself, I
向	む.く, む.い, -む.き, む.ける, -む.け, む.かう, む.かい, む.こう, む.こう-, むこ, むか.い, コウ	yonder, facing, beyond, confront, defy, tend toward, approach
際	きわ, -ぎわ, サイ	occasion, side, edge, verge, dangerous, adventurous, indecent, time, when
査	サ	investigate
勝	か.つ, -が.ち, まさ.る, すぐ.れる, かつ, ショウ	victory, win, prevail, excel
面	おも, おもて, つら, メン, ベン	mask, face, features, surface
委	ゆだ.ねる, イ	committee, entrust to, leave to, devote, discard
告	つ.げる, コク	revelation, tell, inform, announce
軍	いくさ, グン	army, force, troops, war, battle
反	そ.る, そ.らす, かえ.す, かえ.る, -かえ.る, ハン, ホン, タン, ホ	anti-
判	わか.る, ハン, バン	judgement, signature, stamp, seal
認	みと.める, したた.める, ニン	acknowledge, witness, discern, recognize, appreciate, believe
参	まい.る, まい-, まじわる, みつ, サン, シン	nonplussed, three (in documents), going, coming, visiting, visit, be defeated, die, be madly in love, participate, take part in
利	き.く, リ	profit, advantage, benefit
組	く.む, くみ, -ぐみ, ソ	association, braid, plait, construct, assemble, unite, cooperate, grapple
案	つくえ, アン	plan, suggestion, draft, ponder, fear, proposition, idea, expectation, worry, table, bench
信	シン	faith, truth, fidelity, trust
在	あ.る, ザイ	exist, outskirts, suburbs, located in
件	くだん, ケン	affair, case, matter, item
団	かたまり, まる.い, ダン, トン	group, association
側	かわ, がわ, そば, ソク	side, lean, oppose, regret
任	まか.せる, まか.す, ニン	responsibility, duty, term, entrust to, appoint
求	もと.める, キュウ, グ	request, want, wish for, require, demand
次	つ.ぐ, つぎ, ジ, シ	next, order, sequence
昨	サク	yesterday, previous
論	ロン	argument, discourse
官	カン	bureaucrat, the government, organ
増	ま.す, ま.し, ふ.える, ふ.やす, ゾウ	increase, add, augment, gain, promote
係	かか.る, かかり, -がかり, かか.わる, ケイ	person in charge, connection, duty, concern oneself
感	カン	emotion, feeling, sensation
情	なさ.け, ジョウ, セイ	feelings, emotion, passion, sympathy, circumstances, facts
投	な.げる, -な.げ, トウ	throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss
示	しめ.す, ジ, シ	show, indicate, point out, express, display
変	か.わる, か.わり, か.える, ヘン	unusual, change, strange
打	う.つ, う.ち-, ぶ.つ, ダ, ダアス	strike, hit, knock, pound, dozen
基	もと, もとい, キ	fundamentals, radical (chem), counter for machines, foundation
各	おのおの, カク	each, every, either
島	しま, トウ	island
直	ただ.ちに, なお.す, -なお.す, なお.る, なお.き, す.ぐ, チョク, ジキ, ジカ	straightaway, honesty, frankness, fix, repair
両	てる, ふたつ, リョウ	both, old Japanese coin, counter for carriages (e.g., in a train), two
革	かわ, カク	leather, skin, reform, become serious
価	あたい, カ, ケ	value, price
式	シキ	style, ceremony, rite, function, method, system, form, expression
確	たし.か, たし.かめる, カク, コウ	assurance, firm, tight, hard, solid, confirm, clear, evident
果	は.たす, はた.す, -は.たす, は.てる, -は.てる, は.て, カ	fruit, reward, carry out, achieve, complete, end, finish, succeed
勢	いきお.い, はずみ, セイ, ゼイ	forces, energy, military strength
減	へ.る, へ.らす, ゲン	dwindle, decrease, reduce, decline, curtail, get hungry
容	い.れる, ヨウ	contain, form, looks
必	かなら.ず, ヒツ	invariably, certain, inevitable
応	あた.る, まさに, こた.える, オウ, ヨウ, -ノウ	apply, answer, yes, OK, reply, accept
演	エン	performance, act, play, render, stage
歳	とし, とせ, よわい, サイ, セイ	year-end, age, occasion, opportunity
争	あらそ.う, いか.でか, ソウ	contend, dispute, argue
談	ダン	discuss, talk
能	よ.く, ノウ	ability, talent, skill, capacity
無	な.い, ム, ブ	nothingness, none, ain't, nothing, nil, not
