同	おな.じ, ドウ	same, agree, equal
事	こと, つか.う, つか.える, ジ, ズ	matter, thing, fact, business, reason, possibly
自	みずか.ら, おの.ずから, おの.ずと, ジ, シ	oneself
民	たみ, ミン	people, nation, subjects
発	た.つ, あば.く, おこ.る, つか.わす, はな.つ, ハツ, ホツ	departure, discharge, publish, emit, start from, disclose, counter for gunshots
者	もの, シャ	someone, person
地	チ, ジ	ground, earth
合	あ.う, -あ.う, あ.い, あい-, -あ.い, -あい, あ.わす, あ.わせる, -あ.わせる, ゴウ, ガッ, カッ	fit, suit, join, 0.1
市	いち, シ	market, city, town
業	わざ, ギョウ, ゴウ	business, vocation, arts, performance
方	かた, -かた, -がた, ホウ	direction, person, alternative
回	まわ.る, -まわ.る, -まわ.り, まわ.す, -まわ.す, まわ.し-, -まわ.し, もとお.る, か.える, カイ, エ	-times, round, game, revolve, counter for occurrences
場	ば, ジョウ, チョウ	location, place
員	イン	employee, member, number, the one in charge
開	ひら.く, ひら.き, -びら.き, ひら.ける, あ.く, あ.ける, カイ	open, unfold, unseal
力	ちから, リョク, リキ, リイ	power, strength, strong, strain, bear up, exert
問	と.う, と.い, とん, モン	question, ask, problem
代	か.わる, かわ.る, かわ.り, か.わり, -がわ.り, -が.わり, か.える, よ, しろ, ダイ, タイ	substitute, change, convert, replace, period, age, counter for decades of ages, eras, etc., generation, charge, rate, fee
明	あ.かり, あか.るい, あか.るむ, あか.らむ, あき.らか, あ.ける, -あ.け, あ.く, あ.くる, あ.かす, メイ, ミョウ, ミン	bright, light
動	うご.く, うご.かす, ドウ	move, motion, change, confusion, shift, shake
京	みやこ, キョウ, ケイ, キン	capital, 10**16
通	とお.る, とお.り, -とお.り, -どお.り, とお.す, とお.し, -どお.し, かよ.う, ツウ, ツ	traffic, pass through, avenue, commute, counter for letters, notes, documents, etc.
理	ことわり, リ	logic, arrangement, reason, justice, truth
体	からだ, かたち, タイ, テイ	body, substance, object, reality, counter for images
田	た, デン	rice field, rice paddy
主	ぬし, おも, あるじ, シュ, ス, シュウ	lord, chief, master, main thing, principal
題	ダイ	topic, subject
首	くび, シュ	neck, counter for songs and poems
意	イ	idea, mind, heart, taste, thought, desire, care, liking
不	フ, ブ	negative, non-, bad, ugly, clumsy
作	つく.る, つく.り, -づく.り, サク, サ	make, production, prepare, build
用	もち.いる, ヨウ	utilize, business, service, use, employ
度	たび, -た.い, ド, ト, タク	degrees, occurrence, time, counter for occurrences, consider, attitude
強	つよ.い, つよ.まる, つよ.める, し.いる, こわ.い, キョウ, ゴウ	strong
持	も.つ, -も.ち, も.てる, ジ	hold, have
野	の, の-, ヤ, ショ	plains, field, rustic, civilian life
都	みやこ, ト, ツ	metropolis, capital
以	もっ.て, イ	by means of, because, in view of, compared with
思	おも.う, おもえら.く, おぼ.す, シ	think
家	いえ, や, うち, カ, ケ	house, home, family, professional, expert, performer
世	よ, さんじゅう, セイ, セ, ソウ	generation, world, society, public
区	ク, オウ, コウ	ward, district
県	か.ける, ケン	prefecture
進	すす.む, すす.める, シン	advance, proceed, progress, promote
正	ただ.しい, ただ.す, まさ, まさ.に, セイ, ショウ	correct, justice, righteous, 10**40
院	イン	Inst., institution, temple, mansion, school
心	こころ, -ごころ, シン	heart, mind, spirit, heart radical (no. 61)
界	カイ	world
産	う.む, う.まれる, うぶ-, む.す, サン	products, bear, give birth, yield, childbirth, native, property
教	おし.える, おそ.わる, キョウ	teach, faith, doctrine
文	ふみ, あや, ブン, モン	sentence, literature, style, art, decoration, figures, plan, literary radical (no. 67)
元	もと, ゲン, ガン	beginning, former time, origin
重	え, おも.い, おも.り, おも.なう, かさ.ねる, かさ.なる, おも, ジュウ, チョウ	heavy, heap up, pile up, nest of boxes, -fold
近	ちか.い, キン, コン	near, early, akin, tantamount
考	かんが.える, かんが.え, コウ	consider, think over
画	えが.く, かく.する, かぎ.る, はかりごと, はか.る, ガ, カク, エ, カイ	brush-stroke, picture
海	うみ, カイ	sea, ocean
売	う.る, う.れる, バイ	sell
知	し.る, し.らせる, チ	know, wisdom
集	あつ.まる, あつ.める, つど.う, シュウ	gather, meet, congregate, swarm, flock
別	わか.れる, わ.ける, ベツ	separate, branch off, diverge, fork, another, extra, specially
物	もの, もの-, ブツ, モツ	thing, object, matter
引	ひ.く, ひ.き, ひ.き-, -び.き, ひ.ける, イン	pull, tug, jerk, admit, install, quote, refer to
使	つか.う, つか.い, -つか.い, -づか.い, シ	use, send on a mission, order, messenger, envoy, ambassador, cause
所	ところ, -ところ, どころ, とこ, ショ	place
品	しな, ヒン, ホン	goods, refinement, dignity, article, counter for meal courses
計	はか.る, はか.らう, ケイ	plot, plan, scheme, measure
死	し.ぬ, し.に-, シ	death, die
特	トク	special
私	わたくし, わたし, シ	private, I, me
始	はじ.める, -はじ.める, はじ.まる, シ	commence, begin
朝	あさ, チョウ	morning, dynasty, regime, epoch, period, (North) Korea
村	むら, ソン	village, town
運	はこ.ぶ, ウン	carry, luck, destiny, fate, lot, transport, progress, advance
終	お.わる, -お.わる, おわ.る, お.える, つい, つい.に, シュウ	end, finish
台	うてな, われ, つかさ, ダイ, タイ	pedestal, a stand, counter for machines and vehicles
広	ひろ.い, ひろ.まる, ひろ.める, ひろ.がる, ひろ.げる, コウ	wide, broad, spacious
住	す.む, す.まう, -ず.まい, ジュウ, ヂュウ, チュウ	dwell, reside, live, inhabit
真	ま, ま-, まこと, シン	true, reality, Buddhist sect
有	あ.る, ユウ, ウ	possess, have, exist, happen, occur, approx
町	まち, チョウ	town, village, block, street
料	リョウ	fee, materials
工	コウ, ク, グ	craft, construction, katakana e radical (no. 48)
建	た.てる, た.て, -だ.て, た.つ, ケン, コン	build
急	いそ.ぐ, いそ.ぎ, キュウ	hurry, emergency, sudden, steep
止	と.まる, -ど.まり, と.める, -と.める, -ど.め, とど.める, とど.め, とど.まる, や.める, や.む, -や.む, よ.す, -さ.す, -さ.し, シ	stop, halt
送	おく.る, ソウ	escort, send
切	き.る, -き.る, き.り, -き.り, -ぎ.り, き.れる, -き.れる, き.れ, -き.れ, -ぎ.れ, セツ, サイ	cut, cutoff, be sharp
説	と.く, セツ, ゼイ	opinion, theory, explanation, rumor
転	ころ.がる, ころ.げる, ころ.がす, ころ.ぶ, まろ.ぶ, うたた, うつ.る, くる.めく, テン	revolve, turn around, change
研	と.ぐ, ケン	polish, study of, sharpen
究	きわ.める, キュウ, ク	research, study
楽	たの.しい, たの.しむ, この.む, ガク, ラク, ゴウ	music, comfort, ease
起	お.きる, お.こる, お.こす, おこ.す, た.つ, キ	rouse, wake up, get up
着	き.る, -ぎ, き.せる, -き.せ, つ.く, つ.ける, チャク, ジャク	don, arrive, wear, counter for suits of clothing
乗	の.る, -の.り, の.せる, ジョウ, ショウ	ride, power, multiplication, record, counter for vehicles, board, mount, join
病	や.む, -や.み, やまい, ビョウ, ヘイ	ill, sick
声	こえ, こわ-, セイ, ショウ	voice
質	たち, ただ.す, もと, わりふ, シツ, シチ, チ	substance, quality, matter, temperament
待	ま.つ, -ま.ち, タイ	wait, depend on
試	こころ.みる, ため.す, シ	test, try, attempt, experiment, ordeal
族	ゾク	tribe, family
銀	しろがね, ギン	silver
早	はや.い, はや, はや-, はや.まる, はや.める, さ-, ソウ, サッ	early, fast
映	うつ.る, うつ.す, は.える, -ば.え, エイ	reflect, reflection, projection
親	おや, おや-, した.しい, した.しむ, シン	parent, intimacy, relative, familiarity, dealer (cards)
験	あかし, しるし, ため.す, ためし, ケン, ゲン	verification, effect, testing
働	はたら.く, ドウ, リュク, リキ, ロク, リョク	work, (kokuji)
好	この.む, す.く, よ.い, い.い, コウ	fond, pleasing, like something
英	はなぶさ, エイ	England, English, hero, outstanding, calyx
頭	あたま, かしら, -がしら, かぶり, トウ, ズ, ト	head, counter for large animals
低	ひく.い, ひく.める, ひく.まる, テイ	lower, short, humble
医	い.やす, い.する, くすし, イ	doctor, medicine
仕	つか.える, シ, ジ	attend, doing, official, serve
去	さ.る, -さ.る, キョ, コ	gone, past, quit, leave, elapse, eliminate, divorce
味	あじ, あじ.わう, ミ	flavor, taste
門	かど, と, モン	gate, counter for cannons
写	うつ.す, うつ.る, うつ-, うつ.し, シャ, ジャ	copy, be photographed, describe
字	あざ, あざな, -な, ジ	character, letter, word, section of village
答	こた.える, こた.え, トウ	solution, answer
夜	よ, よる, ヤ	night, evening
音	おと, ね, オン, イン, -ノン	sound, noise
注	そそ.ぐ, さ.す, つ.ぐ, チュウ	pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate
帰	かえ.る, かえ.す, おく.る, とつ.ぐ, キ	homecoming, arrive at, lead to, result in
歌	うた, うた.う, カ	song, sing
光	ひか.る, ひかり, コウ	ray, light
悪	わる.い, わる-, あ.し, にく.い, -にく.い, ああ, いずくに, いずくんぞ, にく.む, アク, オ	bad, vice, rascal, false, evil, wrong
図	え, はか.る, ズ, ト	map, drawing, plan, extraordinary, audacious
室	むろ, シツ	room, apartment, chamber, greenhouse, cellar
太	ふと.い, ふと.る, タイ, タ	plump, thick, big around
歩	ある.く, あゆ.む, ホ, ブ, フ	walk, counter for steps
風	かぜ, かざ-, -かぜ, フウ, フ	wind, air, style, manner
紙	かみ, シ	paper
黒	くろ, くろ.ずむ, くろ.い, コク	black
春	はる, シュン	springtime, spring (season)
赤	あか, あか-, あか.い, あか.らむ, あか.らめる, セキ, シャク	red
青	あお, あお-, あお.い, セイ, ショウ	blue, green
森	もり, シン	forest, woods
館	やかた, たて, カン	building, mansion, large building, palace
屋	や, オク	roof, house, shop, dealer, seller
色	いろ, ショク, シキ	color
走	はし.る, ソウ	run
秋	あき, とき, シュウ	autumn
林	はやし, リン	grove, forest
夏	なつ, カ, ガ, ゲ	summer
顔	かお, ガン	face, expression
短	みじか.い, タン	short, brevity, fault, defect, weak point
薬	くすり, ヤク	medicine, chemical, enamel, gunpowder, benefit
習	なら.う, なら.い, シュウ, ジュ	learn
便	たよ.り, ベン, ビン	convenience, facility, excrement, feces, letter, chance
洋	ヨウ	ocean, western style
旅	たび, リョ	trip, travel
軽	かる.い, かろ.やか, かろ.んじる, ケイ	lightly, trifling, unimportant
池	いけ, チ	pond, cistern, pool, reservoir
服	フク	clothing, admit, obey, discharge
遠	とお.い, エン, オン	distant, far
夕	ゆう, セキ	evening
借	か.りる, シャク	borrow, rent
曜	ヨウ	weekday
弱	よわ.い, よわ.る, よわ.まる, よわ.める, ジャク	weak, frail
肉	しし, ニク	meat
貸	か.す, か.し-, かし-, タイ	lend
堂	ドウ	public chamber, hall
暗	くら.い, くら.む, くれ.る, アン	darkness, disappear, shade, informal, grow dark, be blinded
鳥	とり, チョウ	bird, chicken
飯	めし, ハン	meal, boiled rice
勉	つと.める, ベン	exertion, endeavour, encourage, strive, make effort, diligent
冬	ふゆ, トウ	winter
昼	ひる, チュウ	daytime, noon
茶	チャ, サ	tea
弟	おとうと, テイ, ダイ, デ	younger brother, faithful service to elders
洗	あら.う, セン	wash, inquire into, probe
牛	うし, ギュウ	cow
兄	あに, ケイ, キョウ	elder brother, big brother
犬	いぬ, いぬ-, ケン	dog
菜	な, サイ	vegetable, side dish, greens
暑	あつ.い, ショ	sultry, hot, summer heat
妹	いもうと, マイ	younger sister
寒	さむ.い, カン	cold
姉	あね, はは, シ	elder sister
漢	カン	Sino-, China
