日	ひ, -び, -か, ニチ, ジツ	day, sun, Japan, counter for days
一	ひと-, ひと.つ, イチ, イツ	one, one radical (no.1)
国	くに, コク	country
会	あ.う, あ.わせる, あつ.まる, カイ, エ	meeting, meet, party, association, interview, join
人	ひと, -り, -と, ジン, ニン	person
年	とし, ネン	year, counter for years
大	おお-, おお.きい, -おお.いに, ダイ, タイ	large, big
十	とお, と, ジュウ, ジッ, ジュッ	ten
二	ふた, ふた.つ, ふたたび, ニ, ジ	two, two radical (no.2)
本	もと, ホン	book, present, main, origin, true, real, counter for long cylindrical things
中	なか, うち, あた.る, チュウ	in, inside, middle, mean, center
長	なが.い, おさ, チョウ	long, leader
出	で.る, -で, だ.す, -だ.す, い.でる, い.だす, シュツ, スイ	exit, leave, go out, come out, put out, protrude
三	み, み.つ, みっ.つ, サン, ゾウ	three
時	とき, -どき, ジ	time, hour
行	い.く, ゆ.く, -ゆ.き, -ゆき, -い.き, -いき, おこな.う, おこ.なう, コウ, ギョウ, アン	going, journey, carry out, conduct, act, line, row, bank
社	やしろ, シャ	company, firm, office, association, shrine
見	み.る, み.える, み.せる, ケン	see, hopes, chances, idea, opinion, look at, visible
月	つき, ゲツ, ガツ	month, moon
分	わ.ける, わ.け, わ.かれる, わ.かる, わ.かつ, ブン, フン, ブ	part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100
後	のち, うし.ろ, うしろ, あと, おく.れる, ゴ, コウ	behind, back, later
前	まえ, -まえ, ゼン	in front, before
生	い.きる, い.かす, い.ける, う.まれる, うま.れる, う.まれ, うまれ, う.む, お.う, は.える, は.やす, き, なま, なま-, な.る, な.す, む.す, -う, セイ, ショウ	life, genuine, birth
五	いつ, いつ.つ, ゴ	five
間	あいだ, ま, あい, カン, ケン	interval, space
上	うえ, -うえ, うわ-, かみ, あ.げる, -あ.げる, あ.がる, -あ.がる, あ.がり, -あ.がり, のぼ.る, のぼ.り, のぼ.せる, のぼ.す, よ.す, ジョウ, ショウ, シャン	above, up
東	ひがし, トウ	east
四	よ, よ.つ, よっ.つ, よん, シ	four
今	いま, コン, キン	now
新	あたら.しい, あら.た, あら-, にい-, シン	new
金	かね, かな-, -がね, キン, コン, ゴン	gold
九	ここの, ここの.つ, キュウ, ク	nine
入	い.る, -い.る, -い.り, い.れる, -い.れ, はい.る, ニュウ, ジュ	enter, insert
立	た.つ, -た.つ, た.ち-, た.てる, -た.てる, た.て-, たて-, -た.て, -だ.て, -だ.てる, リツ, リュウ, リットル	stand up, rise, set up, erect
手	て, て-, -て, た-, シュ, ズ	hand
学	まな.ぶ, ガク	study, learning, science
高	たか.い, たか, -だか, たか.まる, たか.める, コウ	tall, high, expensive
円	まる.い, まる, まど, まど.か, まろ.やか, エン	circle, yen, round
子	こ, -こ, ね, シ, ス, ツ	child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac
目	め, -め, ま-, モク, ボク	eye, class, look, insight, experience, care, favor
外	そと, ほか, はず.す, はず.れる, と-, ガイ, ゲ	outside
言	い.う, こと, ゲン, ゴン	say
八	や, や.つ, やっ.つ, よう, ハチ	eight, eight radical (no. 12)
六	む, む.つ, むっ.つ, むい, ロク, リク	six
下	した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる, カ, ゲ	below, down, descend, give, low, inferior
来	く.る, きた.る, きた.す, き.たす, き.たる, き, こ, ライ, タイ	come, due, next, cause, become
気	いき, キ, ケ	spirit, mind, air, atmosphere, mood
小	ちい.さい, こ-, お-, さ-, ショウ	little, small
七	なな, なな.つ, なの, シチ	seven
山	やま, サン, セン	mountain
話	はな.す, はなし, ワ	tale, talk
多	おお.い, まさ.に, まさ.る, タ	many, frequent, much
安	やす.い, やす.まる, やす, やす.らか, アン	relax, cheap, low, quiet, rested, contented, peaceful
女	おんな, め, ジョ, ニョ, ニョウ	woman, female
北	きた, ホク	north
午	うま, ゴ	noon, sign of the horse, 11AM-1PM, seventh sign of Chinese zodiac
百	もも, ヒャク, ビャク	hundred
書	か.く, -が.き, -がき, ショ	write
先	さき, ま.ず, セン	before, ahead, previous, future, precedence
名	な, -な, メイ, ミョウ	name, noted, distinguished, reputation
川	かわ, セン	stream, river, river or 3-stroke river radical (no. 47)
千	ち, セン	thousand
道	みち, ドウ, トウ	road-way, street, district, journey, course, moral, teachings
水	みず, みず-, スイ	water
半	なか.ば, ハン	half, middle, odd number, semi-, part-
男	おとこ, お, ダン, ナン	male
西	にし, セイ, サイ, ス	west, Spain
電	デン	electricity
口	くち, コウ, ク	mouth
少	すく.ない, すこ.し, ショウ	few, little
校	コウ, キョウ	exam, school, printing, proof, correction
語	かた.る, かた.らう, ゴ	word, speech, language
空	そら, あ.く, あ.き, あ.ける, から, す.く, す.かす, むな.しい, クウ	empty, sky, void, vacant, vacuum
土	つち, ド, ト	soil, earth, ground, Turkey
木	き, こ-, ボク, モク	tree, wood
聞	き.く, き.こえる, ブン, モン	hear, ask, listen
食	く.う, く.らう, た.べる, は.む, ショク, ジキ	eat, food
車	くるま, シャ	car
何	なに, なん, なに-, なん-, カ	what
南	みなみ, ナン, ナ	south
足	あし, た.りる, た.る, た.す, ソク	leg, foot, be sufficient, counter for pairs of footwear
万	よろず, マン, バン	ten thousand, 10,000
店	みせ, たな, テン	store, shop
毎	ごと, -ごと.に, マイ	every
白	しろ, しら-, しろ.い, ハク, ビャク	white
古	ふる.い, ふる-, -ふる.す, コ	old
天	あまつ, あめ, あま-, テン	heavens, sky, imperial
買	か.う, バイ	buy
週	シュウ	week
母	はは, も, ボ	mother
火	ひ, -び, ほ-, カ	fire
花	はな, カ, ケ	flower
右	みぎ, ウ, ユウ	right
読	よ.む, -よ.み, ドク, トク, トウ	read
友	とも, ユウ	friend
左	ひだり, サ, シャ	left
休	やす.む, やす.まる, やす.める, キュウ	rest, day off, retire, sleep
父	ちち, フ	father
駅	エキ	station
雨	あめ, あま-, -さめ, ウ	rain
飲	の.む, -の.み, イン, オン	drink, smoke, take
魚	うお, さかな, -ざかな, ギョ	fish
耳	みみ, ジ	ear
