夕べ	ゆうべ, ゆう, さくや	evening., last night.
上げる	あげる	to raise, to elevate., to do up (one's hair)., to fly (a kite, etc.), to launch (fireworks, etc.), to surface (a submarine, etc.)., to land (a boat)., to deep-fry., to show someone (into a room)., (uk) to summon (for geishas, etc.)., to send someone (away)., to enrol (one's child in school), to enroll., to increase (price, quality, status, etc.), to develop (talent, skill), to improve., to make (a loud sound), to raise (one's voice)., to earn (something desirable)., to praise., to give (an example, etc.), to cite., to summon up (all of one's energy, etc.)., to arrest., to nominate., to give., to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.)., to bear (a child)., to conduct (a ceremony, esp. a wedding)., (of the tide) to come in., to vomit., to do for (the sake of someone else)., to complete ...., to humbly do ....
一人	ひとり, いちにん	one person., alone, unmarried, solitary.
在る	ある	to be (usu. of inanimate objects), to exist, to live., to have., to be located., to be equipped with., to happen, to come about.
作る	つくる	to make, to produce, to manufacture, to build, to construct., to prepare (food), to brew (alcohol)., to raise, to grow, to cultivate, to train., to till., to draw up (a document), to make out, to prepare, to write., to create (an artistic work, etc.), to compose., to coin (a phrase), to organize, to organise, to establish, to found., to have (a child)., to make up (one's face, etc.)., to fabricate (an excuse, etc.)., to form (a line, etc.)., to set (a record)., to commit (a sin, etc.).
足	あし	foot., leg., gait., pace., bottom structural component (i.e. radical) of a kanji., means of transportation.
川	かわ, がわ	river, stream., the .... river, (suffix used with the names of rivers).
歌	うた	song., classical Japanese poetry (esp. tanka)., modern poetry.
子供	こども	child, children.
体	からだ, しんたい, しんだい, しんてい	body., torso, trunk., build, physique, constitution., health., corpse, dead body.
明日	あした, あす, みょうにち	tomorrow., near future.
歌う	うたう	to sing., to sing (one's praises in a poem, etc.), to compose a poem, to recite a poem.
女の子	おんなのこ, おんなのコ, おんにゃのこ	girl.
男の子	おとこのこ, おとこのコ	boy, male child, baby boy.
否	いいえ, いいや, いえ, いな, いや	no, nay., well, er, why.
早い	はやい	fast, quick, hasty, brisk., early (in the day, etc.), premature., (too) soon, not yet, (too) early., easy, simple, quick.
返す	かえす	to return (something), to restore, to put back., to turn over, to turn upside down, to overturn., to pay back, to retaliate, to reciprocate., (after the -masu stem of a verb) to repeat ..., to do ... back.
歳	さい	-years-old., ability, gift, talent, aptitude, genius.
止まる	とまる	to stop (moving), to come to a stop., to stop (doing, working, being supplied), to come to a halt, to cease, to be stopped, to be suspended., to alight, to perch on.
赤い	あかい	red., Red (i.e. communist).
上る	のぼる	to ascend, to go up, to climb., to ascend (as a natural process, e.g. the sun), to rise., to go to (the capital)., to be promoted., to add up to., to advance (in price)., to swim up (a river), to sail up., to come up (on the agenda).
私	わたし, わたくし	I, me., private affairs, personal matter, secrecy., selfishness.
九	きゅう, く, ここの, この, ここ	nine.
三	さん, み	three., tri-.
四	し, よん, よ	four.
十	じゅう, と, とお	10, ten.
言う	いう, ゆう	to say, to utter, to declare., to name, to call., to go (e.g. "the alarm went ping"), to make a noise.
一昨年	いっさくねん, おととし	year before last.
何	なに, なん	what., how many (some counter)., euph. for genitals or sex.
今日	きょう, こんにち, こんち, こんじつ	today, this day., these days, recently, nowadays.
毎年	まいとし, まいねん	every year, yearly, annually.
皆	みな, みんな	all, everyone, everybody., everything.
入口	いりぐち, いりくち, はいりぐち, はいりくち	entrance, entry, gate, approach, mouth.
勤める	つとめる	to work (for), to be employed (at), to serve (in)., to serve (as), to act (as), to fill (the position of), to play the role (of)., to conduct a religious service.
買い物	かいもの	shopping, purchased goods.
良い	よい, いい	good, excellent, fine, nice, pleasant, agreeable., sufficient (can be used to turn down an offer), ready, prepared., profitable (e.g. deal, business offer, etc.), beneficial., OK.
昨日	きのう, さくじつ	yesterday.
降りる	おりる	to descend (e.g. a mountain), to go down, to come down., to alight (e.g. from bus), to get off, to disembark, to dismount., to step down, to retire, to give up, to quit., to be granted, to be issued, to be given., to form (of frost, dew, mist, etc.)., to be passed (from the body; e.g. of a roundworm).
余り	あまり, あんまり	remainder, rest, balance, remains, scraps, residue, remnant., not very (with negative sentence), not much., surplus, excess, fullness, too much., overjoyed, overwhelmed., more than, over.
目	め	eye, eyeball., eyesight, sight, vision., look, stare, glance., an experience., viewpoint., stitch, texture, weave., ordinal number suffix., somewhat, -ish.
始め	はじめ	beginning, start, outset, opening., first (in line, etc.)., origin., such as ..., not to mention ....
魚	さかな, うお	fish.
丸い	まるい, まろい	round, circular, spherical., harmonious, calm.
飲み物	のみもの	drink, beverage.
意味	いみ	meaning, significance.
一つ	ひとつ	one., for one thing., only., (not) even., just (e.g. "just try it").
一番	いちばん	best, first, number one., game, round, bout, fall, event (in a meet).
右	みぎ	right, right hand side., afore-mentioned (esp. in vertical Japanese writing), foregoing, forgoing, above.
映画	えいが	movie, film.
音楽	おんがく	music, musical movement.
夏	なつ	summer.
家族	かぞく	family, members of a family.
家庭	かてい	home, family, household.
花	はな	flower, blossom, bloom, petal., blooming (esp. of cherry blossoms), cherry blossom., ikebana., Japanese playing cards., beauty., (the) best.
会社	かいしゃ	company, corporation., workplace.
外国	がいこく, そとぐに	foreign country.
外国人	がいこくじん	foreigner, foreign citizen, foreign national, alien, non-Japanese.
学校	がっこう	school.
学生	がくせい	student (esp. a university student).
顔	かお, がん	face, visage., look, expression, countenance., honor, honour, face., influence, notoriety.
銀行	ぎんこう	bank.
言葉	ことば, けとば	language, dialect., word, words, phrase, term, expression, remark., speech, (manner of) speaking.
五	ご, いつ, い	five.
午後	ごご	afternoon, p.m..
午前	ごぜん	morning, a.m..
